winner,best_of,w_one,w_two,w_three,w_four,w_five,winner_id
Kwon S.W.,3,6.0,6.0,,,,335
Monteiro T.,3,6.0,3.0,7.0,,,414
Djere L.,3,7.0,7.0,,,,146
Johnson S.,3,6.0,2.0,6.0,,,277
Moutet C.,3,7.0,6.0,,,,418
Daniel T.,3,6.0,6.0,6.0,,,115
Gerasimov E.,3,6.0,6.0,,,,203
Ymer M.,3,7.0,7.0,,,,646
Cerundolo J.M.,3,6.0,6.0,,,,90
Paul T.,3,6.0,4.0,6.0,,,458
Mager G.,3,6.0,3.0,6.0,,,368
Kokkinakis T.,3,6.0,6.0,,,,308
Djere L.,3,4.0,7.0,,,,146
Cilic M.,3,6.0,7.0,,,,97
Ymer M.,3,6.0,6.0,,,,646
Kokkinakis T.,3,3.0,7.0,6.0,,,308
Paul T.,3,6.0,6.0,6.0,,,458
Gerasimov E.,3,6.0,3.0,6.0,,,203
Khachanov K.,3,6.0,4.0,6.0,,,291
Monfils G.,3,6.0,6.0,,,,411
Cilic M.,3,6.0,6.0,,,,97
Monfils G.,3,6.0,6.0,,,,411
Khachanov K.,3,7.0,6.0,,,,291
Kokkinakis T.,3,7.0,4.0,6.0,,,308
Khachanov K.,3,7.0,6.0,,,,291
Monfils G.,3,7.0,6.0,,,,411
Monfils G.,3,6.0,6.0,,,,411
Bagnis F.,3,6.0,5.0,6.0,,,26
Van De Zandschulp B.,3,6.0,6.0,,,,605
Mcdonald M.,3,6.0,6.0,,,,389
Griekspoor T.,3,6.0,6.0,,,,229
Berankis R.,3,7.0,6.0,,,,48
Thompson J.,3,1.0,7.0,6.0,,,587
Ruusuvuori E.,3,7.0,6.0,,,,517
Laaksonen H.,3,4.0,6.0,5.0,,,337
Molcan A.,3,6.0,6.0,6.0,,,408
Popyrin A.,3,7.0,6.0,,,,471
Cressy M.,3,6.0,6.0,,,,108
Munar J.,3,6.0,6.0,,,,422
Ruusuvuori E.,3,7.0,5.0,6.0,,,517
Molcan A.,3,7.0,6.0,,,,408
Dimitrov G.,3,5.0,7.0,6.0,,,145
Nadal R.,3,6.0,7.0,,,,427
Munar J.,3,6.0,7.0,,,,422
Griekspoor T.,3,6.0,4.0,6.0,,,229
Cressy M.,3,4.0,7.0,7.0,,,108
Van De Zandschulp B.,3,6.0,7.0,,,,605
Ruusuvuori E.,3,6.0,6.0,,,,517
Nadal R.,3,,,,,,427
Cressy M.,3,7.0,6.0,,,,108
Dimitrov G.,3,6.0,6.0,7.0,,,145
Cressy M.,3,7.0,7.0,,,,108
Nadal R.,3,6.0,7.0,,,,427
Nadal R.,3,7.0,6.0,,,,427
Vukic A.,3,7.0,6.0,,,,626
Paul T.,3,6.0,6.0,,,,458
Rinderknech A.,3,6.0,6.0,6.0,,,497
Munar J.,3,6.0,6.0,,,,422
Moutet C.,3,6.0,6.0,,,,418
Kwon S.W.,3,5.0,7.0,6.0,,,335
Johnson S.,3,6.0,6.0,,,,277
Bonzi B.,3,6.0,6.0,,,,63
Fucsovics M.,3,6.0,7.0,,,,191
Mager G.,3,4.0,7.0,6.0,,,368
Kokkinakis T.,3,6.0,6.0,,,,308
Monteiro T.,3,1.0,6.0,6.0,,,414
Rinderknech A.,3,5.0,6.0,6.0,,,497
Cilic M.,3,7.0,6.0,,,,97
Paul T.,3,6.0,7.0,,,,458
Khachanov K.,3,7.0,6.0,,,,291
Vukic A.,3,6.0,7.0,,,,626
Kokkinakis T.,3,6.0,7.0,7.0,,,308
Monteiro T.,3,6.0,6.0,1.0,,,414
Moutet C.,3,6.0,6.0,,,,418
Rinderknech A.,3,7.0,7.0,,,,497
Cilic M.,3,6.0,2.0,6.0,,,97
Moutet C.,3,6.0,6.0,,,,418
Kokkinakis T.,3,6.0,6.0,6.0,,,308
Rinderknech A.,3,6.0,6.0,,,,497
Kokkinakis T.,3,6.0,3.0,7.0,,,308
Kokkinakis T.,3,6.0,7.0,6.0,,,308
Goffin D.,3,6.0,6.0,,,,213
Sonego L.,3,3.0,6.0,7.0,,,561
Thompson J.,3,6.0,6.0,,,,587
Fognini F.,3,6.0,7.0,,,,187
Baez S.,3,6.0,1.0,7.0,,,24
Nakashima B.,3,7.0,7.0,,,,429
Kudla D.,3,6.0,6.0,,,,325
Kecmanovic M.,3,6.0,6.0,,,,289
Martinez P.,3,6.0,6.0,,,,381
Lajovic D.,3,7.0,6.0,,,,339
Cressy M.,3,6.0,7.0,,,,108
Murray A.,3,6.0,6.0,,,,425
Sonego L.,3,6.0,6.0,,,,561
Nakashima B.,3,7.0,7.0,,,,429
Evans D.,3,6.0,6.0,,,,176
Karatsev A.,3,7.0,6.0,,,,286
Opelka R.,3,6.0,6.0,,,,450
Goffin D.,3,6.0,6.0,,,,213
Murray A.,3,6.0,7.0,6.0,,,425
Cressy M.,3,6.0,6.0,,,,108
Karatsev A.,3,6.0,3.0,6.0,,,286
Opelka R.,3,7.0,6.0,,,,450
Murray A.,3,6.0,,,,,425
Evans D.,3,6.0,7.0,,,,176
Murray A.,3,6.0,6.0,6.0,,,425
Karatsev A.,3,6.0,6.0,6.0,,,286
Karatsev A.,3,6.0,6.0,,,,286
Shapovalov D.,5,7.0,6.0,3.0,7.0,,543
Kwon S.W.,5,3.0,6.0,3.0,6.0,6.0,335
Lajovic D.,5,6.0,4.0,6.0,6.0,6.0,339
Vukic A.,5,4.0,6.0,7.0,7.0,,626
Garin C.,5,6.0,6.0,5.0,6.0,6.0,199
Martinez P.,5,7.0,3.0,6.0,6.0,,381
Bonzi B.,5,6.0,6.0,6.0,,,63
Albot R.,5,6.0,6.0,4.0,6.0,,4
Alcaraz C.,5,6.0,6.0,6.0,,,5
Kozlov S.,5,7.0,6.0,6.0,,,316
Monfils G.,5,6.0,6.0,6.0,,,411
Berrettini M.,5,4.0,6.0,7.0,6.0,,53
Khachanov K.,5,3.0,6.0,6.0,7.0,,291
Mannarino A.,5,6.0,2.0,3.0,6.0,6.0,373
Carreno Busta P.,5,6.0,6.0,7.0,,,83
Bublik A.,5,3.0,7.0,6.0,6.0,,76
Nadal R.,5,6.0,6.0,6.0,,,427
Korda S.,5,6.0,6.0,6.0,,,311
Hurkacz H.,5,6.0,7.0,6.0,6.0,,261
Koepfer D.,5,6.0,3.0,6.0,6.0,,305
Moutet C.,5,3.0,6.0,6.0,6.0,,418
Griekspoor T.,5,6.0,6.0,6.0,,,229
Mcdonald M.,5,5.0,6.0,6.0,6.0,,389
Kecmanovic M.,5,6.0,6.0,6.0,,,289
Sonego L.,5,7.0,6.0,6.0,,,561
Hanfmann Y.,5,6.0,6.0,6.0,,,243
Opelka R.,5,6.0,6.0,7.0,,,450
Millman J.,5,6.0,6.0,4.0,7.0,,401
Otte O.,5,6.0,6.0,6.0,,,452
Karatsev A.,5,3.0,7.0,6.0,6.0,6.0,286
Paul T.,5,6.0,6.0,6.0,,,458
Zverev A.,5,7.0,6.0,7.0,,,660
Schwartzman D.,5,6.0,6.0,7.0,,,536
Van De Zandschulp B.,5,6.0,6.0,6.0,,,605
Gasquet R.,5,3.0,7.0,7.0,6.0,,200
O Connell C.,5,7.0,6.0,4.0,6.0,,443
Gombos N.,5,6.0,6.0,1.0,6.0,,216
Cilic M.,5,6.0,6.0,6.0,,,97
Kohlschreiber P.,5,6.0,7.0,7.0,,,306
Bautista Agut R.,5,7.0,6.0,5.0,6.0,,38
Berankis R.,5,6.0,3.0,2.0,6.0,6.0,48
Rublev A.,5,6.0,6.0,6.0,,,512
Dimitrov G.,5,6.0,4.0,6.0,7.0,,145
Johnson S.,5,7.0,6.0,4.0,6.0,6.0,277
Sinner J.,5,6.0,7.0,6.0,,,549
Paire B.,5,6.0,3.0,7.0,2.0,7.0,455
Cressy M.,5,7.0,7.0,6.0,6.0,6.0,108
Medvedev D.,5,6.0,6.0,7.0,,,391
Murray A.,5,6.0,3.0,6.0,6.0,6.0,425
Auger-Aliassime F.,5,6.0,0.0,3.0,6.0,6.0,21
Machac T.,5,6.0,2.0,6.0,6.0,,365
Daniel T.,5,7.0,6.0,6.0,,,115
Molcan A.,5,6.0,7.0,5.0,7.0,,408
Andujar P.,5,6.0,7.0,6.0,,,16
Evans D.,5,6.0,6.0,6.0,,,176
Fritz T.,5,7.0,6.0,6.0,,,190
Davidovich Fokina A.,5,6.0,6.0,6.0,,,118
Baez S.,5,6.0,4.0,6.0,1.0,6.0,24
Tiafoe F.,5,3.0,6.0,6.0,3.0,6.0,588
Rinderknech A.,5,7.0,4.0,6.0,3.0,6.0,497
Majchrzak K.,5,6.0,6.0,7.0,,,370
De Minaur A.,5,3.0,6.0,6.0,6.0,,125
Kyrgios N.,5,6.0,6.0,6.0,,,336
Tsitsipas S.,5,6.0,6.0,6.0,,,597
Sonego L.,5,2.0,6.0,6.0,6.0,,561
Kecmanovic M.,5,7.0,7.0,7.0,,,289
Carreno Busta P.,5,6.0,6.0,7.0,3.0,6.0,83
Opelka R.,5,6.0,6.0,7.0,,,450
Korda S.,5,3.0,6.0,6.0,7.0,7.0,311
Shapovalov D.,5,7.0,6.0,6.0,7.0,6.0,543
Nadal R.,5,6.0,6.0,6.0,,,427
Alcaraz C.,5,6.0,6.0,7.0,,,5
Berrettini M.,5,6.0,4.0,6.0,6.0,,53
Garin C.,5,6.0,7.0,2.0,6.0,6.0,199
Albot R.,5,6.0,7.0,6.0,,,4
Mannarino A.,5,6.0,6.0,6.0,,,373
Khachanov K.,5,6.0,6.0,7.0,,,291
Karatsev A.,5,3.0,6.0,6.0,6.0,,286
Zverev A.,5,6.0,6.0,6.0,,,660
Monfils G.,5,6.0,6.0,6.0,,,411
Cilic M.,5,6.0,6.0,3.0,7.0,,97
O Connell C.,5,7.0,6.0,6.0,,,443
Cressy M.,5,6.0,3.0,6.0,7.0,,108
Rublev A.,5,6.0,6.0,6.0,,,512
Evans D.,5,,,,,,176
Andujar P.,5,6.0,7.0,0.0,6.0,,16
Fritz T.,5,6.0,6.0,7.0,,,190
Bautista Agut R.,5,6.0,6.0,6.0,,,38
Auger-Aliassime F.,5,7.0,6.0,7.0,7.0,,21
De Minaur A.,5,6.0,6.0,6.0,,,125
Tsitsipas S.,5,7.0,6.0,6.0,6.0,,597
Paire B.,5,6.0,6.0,6.0,7.0,,455
Daniel T.,5,6.0,6.0,6.0,,,115
Van De Zandschulp B.,5,4.0,6.0,4.0,,,605
Medvedev D.,5,7.0,6.0,4.0,6.0,,391
Sinner J.,5,6.0,6.0,6.0,,,549
Kecmanovic M.,5,6.0,6.0,6.0,7.0,,289
Monfils G.,5,7.0,6.0,6.0,,,411
Berrettini M.,5,6.0,7.0,4.0,2.0,7.0,53
Shapovalov D.,5,7.0,4.0,6.0,6.0,,543
Carreno Busta P.,5,6.0,7.0,6.0,6.0,,83
Zverev A.,5,6.0,6.0,6.0,,,660
Nadal R.,5,6.0,6.0,3.0,6.0,,427
Mannarino A.,5,7.0,6.0,7.0,6.0,,373
Fritz T.,5,6.0,3.0,3.0,6.0,6.0,190
Tsitsipas S.,5,6.0,7.0,6.0,6.0,,597
Cressy M.,5,6.0,6.0,6.0,6.0,,108
Medvedev D.,5,6.0,6.0,6.0,,,391
Auger-Aliassime F.,5,6.0,6.0,6.0,,,21
Sinner J.,5,6.0,1.0,6.0,6.0,,549
De Minaur A.,5,6.0,6.0,6.0,,,125
Cilic M.,5,7.0,7.0,3.0,6.0,,97
Nadal R.,5,7.0,6.0,6.0,,,427
Shapovalov D.,5,6.0,7.0,6.0,,,543
Monfils G.,5,7.0,7.0,6.0,,,411
Berrettini M.,5,7.0,7.0,6.0,,,53
Auger-Aliassime F.,5,2.0,7.0,6.0,7.0,,21
Medvedev D.,5,6.0,7.0,6.0,7.0,,391
Sinner J.,5,7.0,6.0,6.0,,,549
Tsitsipas S.,5,4.0,6.0,4.0,6.0,6.0,597
Nadal R.,5,6.0,6.0,4.0,3.0,6.0,427
Berrettini M.,5,6.0,6.0,3.0,3.0,6.0,53
Tsitsipas S.,5,6.0,6.0,6.0,,,597
Medvedev D.,5,6.0,3.0,7.0,7.0,6.0,391
Nadal R.,5,6.0,6.0,3.0,6.0,,427
Medvedev D.,5,7.0,4.0,6.0,6.0,,391
Nadal R.,5,2.0,6.0,6.0,6.0,7.0,427
Martinez P.,3,4.0,6.0,7.0,,,381
Varillas J.P.,3,6.0,5.0,7.0,,,611
Munar J.,3,6.0,7.0,,,,422
Londero J.I.,3,6.0,6.0,,,,357
Carballes Baena R.,3,6.0,6.0,,,,82
Etcheverry T.,3,2.0,6.0,6.0,,,173
Ramos-Vinolas A.,3,6.0,6.0,,,,487
Ficovich J.P.,3,7.0,6.0,,,,184
Galan D.E.,3,7.0,6.0,,,,195
Taberner C.,3,6.0,6.0,,,,582
Tabilo A.,3,6.0,6.0,,,,583
Baez S.,3,7.0,7.0,,,,24
Galan D.E.,3,6.0,3.0,6.0,,,195
Londero J.I.,3,6.0,7.0,,,,357
Schwartzman D.,3,6.0,6.0,,,,536
Milojevic N.,3,6.0,7.0,,,,403
Ramos-Vinolas A.,3,6.0,2.0,,,,487
Sonego L.,3,4.0,7.0,6.0,,,561
Baez S.,3,4.0,6.0,6.0,,,24
Tabilo A.,3,6.0,6.0,,,,583
Ramos-Vinolas A.,3,7.0,7.0,,,,487
Londero J.I.,3,6.0,7.0,,,,357
Schwartzman D.,3,3.0,6.0,7.0,,,536
Tabilo A.,3,6.0,7.0,,,,583
Tabilo A.,3,6.0,7.0,,,,583
Ramos-Vinolas A.,3,7.0,6.0,,,,487
Ramos-Vinolas A.,3,4.0,6.0,6.0,,,487
Goffin D.,3,2.0,7.0,6.0,,,213
Bublik A.,3,7.0,7.0,,,,76
Krajinovic F.,3,7.0,7.0,,,,318
Herbert P.H.,3,7.0,6.0,,,,251
Tsonga J.W.,3,6.0,6.0,,,,598
Dzumhur D.,3,7.0,6.0,,,,160
Simon G.,3,7.0,5.0,6.0,,,548
Kwon S.W.,3,6.0,6.0,,,,335
Ymer M.,3,7.0,6.0,,,,646
Mcdonald M.,3,6.0,7.0,,,,389
Gasquet R.,3,6.0,6.0,6.0,,,200
Mannarino A.,3,6.0,6.0,,,,373
Bublik A.,3,6.0,6.0,6.0,,,76
Krajinovic F.,3,6.0,7.0,,,,318
Bautista Agut R.,3,6.0,3.0,,,,38
Dzumhur D.,3,6.0,5.0,6.0,,,160
Mannarino A.,3,6.0,6.0,,,,373
Gasquet R.,3,7.0,6.0,,,,200
Zverev A.,3,6.0,7.0,,,,660
Ymer M.,3,6.0,6.0,,,,646
Krajinovic F.,3,7.0,6.0,,,,318
Bublik A.,3,6.0,2.0,7.0,,,76
Ymer M.,3,7.0,6.0,6.0,,,646
Zverev A.,3,6.0,6.0,,,,660
Bublik A.,3,6.0,6.0,,,,76
Zverev A.,3,6.0,6.0,,,,660
Bublik A.,3,6.0,6.0,,,,76
Albot R.,3,6.0,7.0,,,,4
Halys Q.,3,6.0,6.0,,,,241
Bhambri Y.,3,6.0,6.0,7.0,,,54
Altmaier D.,3,7.0,6.0,,,,7
Ruusuvuori E.,3,6.0,7.0,,,,517
Ymer E.,3,7.0,3.0,6.0,,,645
Majchrzak K.,3,6.0,7.0,,,,370
Vukic A.,3,2.0,6.0,7.0,,,626
Sousa J.,3,6.0,7.0,6.0,,,563
Zapata Miralles B.,3,6.0,6.0,,,,650
Kopriva V.,3,6.0,6.0,,,,310
Travaglia S.,3,7.0,4.0,6.0,,,592
Majchrzak K.,3,6.0,7.0,,,,370
Altmaier D.,3,3.0,6.0,6.0,,,7
Sousa J.,3,4.0,6.0,7.0,,,563
Musetti L.,3,7.0,3.0,6.0,,,426
Vesely J.,3,6.0,6.0,,,,620
Ruusuvuori E.,3,6.0,6.0,,,,517
Ymer E.,3,6.0,7.0,,,,645
Travaglia S.,3,6.0,6.0,,,,592
Majchrzak K.,3,6.0,6.0,6.0,,,370
Ruusuvuori E.,3,6.0,6.0,,,,517
Sousa J.,3,6.0,6.0,,,,563
Ymer E.,3,6.0,7.0,,,,645
Ruusuvuori E.,3,6.0,7.0,,,,517
Sousa J.,3,5.0,7.0,7.0,,,563
Sousa J.,3,7.0,4.0,6.0,,,563
Lajovic D.,3,4.0,6.0,7.0,,,339
Kecmanovic M.,3,6.0,1.0,6.0,,,289
Verdasco F.,3,6.0,3.0,6.0,,,619
Cerundolo F.,3,7.0,6.0,,,,89
Coria F.,3,6.0,1.0,6.0,,,104
Munar J.,3,6.0,6.0,,,,422
Carballes Baena R.,3,7.0,6.0,,,,82
Monteiro T.,3,6.0,6.0,,,,414
Baez S.,3,7.0,6.0,,,,24
Martinez P.,3,6.0,6.0,,,,381
Andujar P.,3,6.0,6.0,,,,16
Delbonis F.,3,6.0,6.0,,,,133
Coria F.,3,4.0,7.0,6.0,,,104
Verdasco F.,3,2.0,6.0,7.0,,,619
Ruud C.,3,7.0,6.0,,,,516
Sonego L.,3,6.0,6.0,,,,561
Fognini F.,3,6.0,7.0,,,,187
Delbonis F.,3,6.0,6.0,,,,133
Cerundolo F.,3,6.0,3.0,6.0,,,89
Schwartzman D.,3,7.0,7.0,,,,536
Delbonis F.,3,6.0,6.0,,,,133
Ruud C.,3,6.0,6.0,,,,516
Sonego L.,3,6.0,7.0,,,,561
Schwartzman D.,3,3.0,6.0,7.0,,,536
Ruud C.,3,6.0,6.0,,,,516
Schwartzman D.,3,7.0,3.0,6.0,,,536
Ruud C.,3,5.0,6.0,6.0,,,516
Anderson K.,3,6.0,6.0,,,,12
Nakashima B.,3,7.0,7.0,,,,429
Thompson J.,3,7.0,6.0,,,,587
Giron M.,3,6.0,6.0,,,,211
Broady L.,3,6.0,6.0,,,,70
Rodionov J.,3,7.0,4.0,6.0,,,504
Stebe C.M.,3,7.0,3.0,6.0,,,572
Sock J.,3,6.0,6.0,,,,557
Pospisil V.,3,6.0,6.0,,,,473
Nishioka Y.,3,6.0,6.0,,,,438
Mannarino A.,3,6.0,6.0,7.0,,,373
Seppi A.,3,4.0,6.0,6.0,,,538
Giron M.,3,3.0,6.0,6.0,,,211
Thompson J.,3,7.0,7.0,,,,587
Isner J.,3,7.0,6.0,7.0,,,265
Fritz T.,3,6.0,6.0,,,,190
Pospisil V.,3,6.0,7.0,6.0,,,473
Brooksby J.,3,6.0,3.0,6.0,,,71
Opelka R.,3,7.0,7.0,,,,450
Mannarino A.,3,6.0,6.0,,,,373
Brooksby J.,3,6.0,6.0,,,,71
Giron M.,3,6.0,3.0,7.0,,,211
Isner J.,3,6.0,6.0,,,,265
Opelka R.,3,6.0,6.0,,,,450
Opelka R.,3,7.0,7.0,,,,450
Brooksby J.,3,6.0,6.0,7.0,,,71
Opelka R.,3,7.0,7.0,,,,450
Mcdonald M.,3,6.0,6.0,,,,389
De Minaur A.,3,6.0,6.0,,,,125
Hurkacz H.,3,6.0,7.0,,,,261
Norrie C.,3,6.0,6.0,,,,440
Griekspoor T.,3,2.0,7.0,7.0,,,229
Khachanov K.,3,6.0,6.0,7.0,,,291
Rublev A.,3,6.0,6.0,,,,512
Lehecka J.,3,6.0,6.0,,,,348
Musetti L.,3,6.0,6.0,6.0,,,426
Tsitsipas S.,3,7.0,6.0,6.0,,,597
Van De Zandschulp B.,3,6.0,6.0,,,,605
Fucsovics M.,3,3.0,6.0,6.0,,,191
Ivashka I.,3,6.0,6.0,,,,268
Auger-Aliassime F.,3,3.0,6.0,6.0,,,21
Kwon S.W.,3,6.0,6.0,,,,335
Murray A.,3,7.0,6.0,,,,425
De Minaur A.,3,7.0,1.0,6.0,,,125
Musetti L.,3,6.0,5.0,6.0,,,426
Norrie C.,3,6.0,7.0,,,,440
Lehecka J.,3,1.0,6.0,6.0,,,348
Rublev A.,3,6.0,6.0,,,,512
Tsitsipas S.,3,6.0,6.0,,,,597
Auger-Aliassime F.,3,6.0,6.0,,,,21
Fucsovics M.,3,6.0,7.0,,,,191
Lehecka J.,3,6.0,1.0,7.0,,,348
Tsitsipas S.,3,6.0,6.0,,,,597
Auger-Aliassime F.,3,7.0,7.0,,,,21
Rublev A.,3,6.0,6.0,,,,512
Tsitsipas S.,3,4.0,6.0,6.0,,,597
Auger-Aliassime F.,3,6.0,6.0,6.0,,,21
Auger-Aliassime F.,3,6.0,6.0,,,,21
Basilashvili N.,3,4.0,7.0,6.0,,,36
Celikbilek A.,3,7.0,7.0,,,,88
Ruusuvuori E.,3,6.0,7.0,,,,517
Bublik A.,3,6.0,6.0,,,,76
Goffin D.,3,3.0,7.0,6.0,,,213
Travaglia S.,3,1.0,6.0,6.0,,,592
Struff J.L.,3,6.0,6.0,,,,576
Lamasine T.,3,7.0,6.0,,,,340
Andreev A.,3,6.0,6.0,,,,13
Grenier H.,3,7.0,6.0,,,,227
Berrettini M.,3,6.0,6.0,,,,53
Chardy J.,3,6.0,6.0,,,,93
De Minaur A.,3,6.0,6.0,,,,125
Kuhn N.,3,3.0,6.0,4.0,,,327
Fognini F.,3,6.0,7.0,,,,187
Kuzmanov D.,3,6.0,3.0,,,,331
De Minaur A.,3,6.0,6.0,,,,125
Basilashvili N.,3,7.0,6.0,,,,36
Travaglia S.,3,7.0,6.0,,,,592
Goffin D.,3,6.0,6.0,,,,213
Chardy J.,3,7.0,6.0,7.0,,,93
Bublik A.,3,6.0,6.0,,,,76
Struff J.L.,3,,,,,,576
Berrettini M.,3,6.0,6.0,,,,53
Goffin D.,3,6.0,6.0,,,,213
Chardy J.,3,4.0,6.0,7.0,,,93
Bublik A.,3,7.0,6.0,,,,76
De Minaur A.,3,6.0,6.0,,,,125
De Minaur A.,3,6.0,3.0,6.0,,,125
Bublik A.,3,6.0,6.0,6.0,,,76
De Minaur A.,3,,,,,,125
Monteiro T.,3,6.0,7.0,,,,414
Paul T.,3,6.0,6.0,,,,458
Mager G.,3,3.0,6.0,6.0,,,368
Korda S.,3,6.0,6.0,,,,311
Querrey S.,3,6.0,6.0,,,,479
Harrison C.,3,6.0,6.0,,,,246
Galan D.E.,3,6.0,6.0,,,,195
Quiroz R.,3,7.0,6.0,,,,481
Fratangelo B.,3,6.0,6.0,,,,189
Norrie C.,3,6.0,6.0,,,,440
Karlovic I.,3,6.0,5.0,6.0,,,287
Tiafoe F.,3,6.0,6.0,,,,588
Mager G.,3,7.0,6.0,,,,368
Harrison C.,3,7.0,6.0,,,,246
Korda S.,3,4.0,6.0,6.0,,,311
Isner J.,3,6.0,7.0,,,,265
Hurkacz H.,3,6.0,6.0,,,,261
Tiafoe F.,3,6.0,3.0,6.0,,,588
Quiroz R.,3,6.0,6.0,,,,481
Norrie C.,3,6.0,7.0,,,,440
Harrison C.,3,7.0,6.0,,,,246
Hurkacz H.,3,6.0,6.0,,,,261
Korda S.,3,6.0,4.0,6.0,,,311
Norrie C.,3,6.0,3.0,6.0,,,440
Hurkacz H.,3,7.0,6.0,,,,261
Korda S.,3,6.0,7.0,,,,311
Hurkacz H.,3,6.0,6.0,,,,261
Vukic A.,3,6.0,7.0,,,,626
Majchrzak K.,3,6.0,6.0,,,,370
Bedene A.,3,7.0,7.0,,,,43
O Connell C.,3,5.0,6.0,6.0,,,443
Purcell M.,3,6.0,6.0,,,,478
Kwon S.W.,3,6.0,6.0,7.0,,,335
Travaglia S.,3,2.0,7.0,7.0,,,592
Anderson K.,3,6.0,7.0,,,,12
Caruso S.,3,7.0,7.0,,,,85
Sandgren T.,3,6.0,5.0,6.0,,,524
Herbert P.H.,3,6.0,7.0,7.0,,,251
Cuevas P.,3,6.0,6.0,,,,111
Sweeny D.,3,7.0,7.0,,,,580
Alcaraz C.,3,2.0,,,,,5
Thompson J.,3,4.0,6.0,6.0,,,587
Haase R.,3,6.0,6.0,,,,238
Querrey S.,3,4.0,7.0,6.0,,,479
Torpegaard M.,3,6.0,7.0,,,,591
Ebden M.,3,6.0,7.0,,,,162
Vilella Martinez M.,3,7.0,6.0,,,,621
Stebe C.M.,3,6.0,6.0,,,,572
Stakhovsky S.,3,6.0,6.0,6.0,,,568
Monteiro T.,3,6.0,6.0,,,,414
Van De Zandschulp B.,3,6.0,7.0,,,,605
Sinner J.,3,6.0,6.0,,,,549
Caruso S.,3,6.0,6.0,6.0,,,85
Bedene A.,3,6.0,6.0,,,,43
Hurkacz H.,3,6.0,6.0,,,,261
Kecmanovic M.,3,6.0,6.0,,,,289
Travaglia S.,3,6.0,6.0,6.0,,,592
Cuevas P.,3,7.0,6.0,,,,111
Thompson J.,3,6.0,3.0,6.0,,,587
Monteiro T.,3,6.0,6.0,6.0,,,414
Van De Zandschulp B.,3,6.0,3.0,6.0,,,605
Opelka R.,3,7.0,6.0,,,,450
Bublik A.,3,7.0,6.0,6.0,,,76
Vilella Martinez M.,3,7.0,6.0,,,,621
Khachanov K.,3,7.0,6.0,,,,291
Alcaraz C.,3,6.0,6.0,,,,5
Anderson K.,3,6.0,6.0,,,,12
Thompson J.,3,6.0,6.0,,,,587
Monteiro T.,3,7.0,6.0,,,,414
Khachanov K.,3,6.0,7.0,,,,291
Sinner J.,3,7.0,6.0,,,,549
Van De Zandschulp B.,3,7.0,7.0,,,,605
Kecmanovic M.,3,7.0,5.0,7.0,,,289
Travaglia S.,3,6.0,7.0,,,,592
Hurkacz H.,3,7.0,7.0,,,,261
Monteiro T.,3,6.0,6.0,,,,414
Sinner J.,3,7.0,6.0,,,,549
Khachanov K.,3,6.0,7.0,6.0,,,291
Travaglia S.,3,3.0,6.0,7.0,,,592
Travaglia S.,3,6.0,6.0,,,,592
Sinner J.,3,7.0,4.0,7.0,,,549
Sinner J.,3,7.0,6.0,,,,549
Moutet C.,3,3.0,6.0,6.0,,,418
Gerasimov E.,3,6.0,7.0,,,,203
Paul T.,3,4.0,7.0,6.0,,,458
Mcdonald M.,3,7.0,7.0,,,,389
Coria F.,3,7.0,6.0,,,,104
Kubler J.,3,3.0,6.0,6.0,,,323
Fucsovics M.,3,7.0,6.0,,,,191
Sousa P.,3,6.0,7.0,,,,564
Ramos-Vinolas A.,3,6.0,6.0,,,,487
Bolt A.,3,2.0,6.0,6.0,,,62
Berankis R.,3,6.0,6.0,,,,48
Chardy J.,3,2.0,6.0,7.0,,,93
Bourchier H.,3,6.0,6.0,,,,66
Mannarino A.,3,7.0,6.0,,,,373
Giron M.,3,6.0,7.0,,,,211
Duckworth J.,3,6.0,6.0,,,,156
Kukushkin M.,3,4.0,7.0,6.0,,,328
Popyrin A.,3,6.0,7.0,7.0,,,471
Sugita Y.,3,3.0,7.0,7.0,,,577
Vesely J.,3,6.0,6.0,,,,620
Kyrgios N.,3,3.0,6.0,7.0,,,336
Harris A.,3,5.0,6.0,7.0,,,244
Simon G.,3,6.0,6.0,,,,548
Ruusuvuori E.,3,6.0,6.0,,,,517
Berankis R.,3,7.0,7.0,,,,48
Gerasimov E.,3,6.0,1.0,6.0,,,203
Giron M.,3,6.0,6.0,,,,211
Evans D.,3,6.0,7.0,,,,176
Bolt A.,3,6.0,6.0,7.0,,,62
Popyrin A.,3,6.0,6.0,,,,471
Wawrinka S.,3,4.0,6.0,6.0,,,632
Duckworth J.,3,7.0,6.0,,,,156
Vesely J.,3,5.0,7.0,6.0,,,620
Chardy J.,3,6.0,6.0,,,,93
Coric B.,3,7.0,6.0,,,,106
Kyrgios N.,3,6.0,7.0,,,,336
Auger-Aliassime F.,3,6.0,6.0,,,,21
Fritz T.,3,6.0,6.0,,,,190
Dimitrov G.,3,6.0,6.0,,,,145
Moutet C.,3,6.0,6.0,,,,418
Coric B.,3,6.0,6.0,,,,106
Evans D.,3,6.0,7.0,,,,176
Chardy J.,3,6.0,6.0,,,,93
Moutet C.,3,7.0,6.0,,,,418
Vesely J.,3,6.0,6.0,,,,620
Wawrinka S.,3,6.0,4.0,7.0,,,632
Auger-Aliassime F.,3,3.0,6.0,7.0,,,21
Dimitrov G.,3,6.0,6.0,6.0,,,145
